,Scores
0,911.0
1,1087.0
2,1084.0
3,1037.0
4,1210.0
5,908.0
6,991.0
7,991.0
8,1129.0
9,1029.0
10,994.0
11,1050.0
12,1131.0
13,1048.0
14,1134.0
15,902.0
16,988.0
17,983.0
18,999.0
19,1044.0
20,870.0
21,808.0
22,990.0
23,1180.0
24,1151.0
25,1054.0
26,1137.0
27,1105.0
28,1214.0
29,941.0
30,975.0
31,1087.0
32,883.0
33,885.0
34,1128.0
35,1185.0
36,917.0
37,1049.0
38,1247.0
39,1097.0
40,1096.0
41,1163.0
42,1056.0
43,1064.0
44,961.0
45,861.0
46,1126.0
47,1110.0
48,1084.0
49,990.0
50,1413.0
51,898.0
52,1235.0
53,988.0
54,1087.0
55,931.0
56,1068.0
57,1166.0
58,799.0
59,1085.0
60,1270.0
61,1088.0
62,878.0
63,873.0
64,1050.0
65,950.0
66,1099.0
67,861.0
68,994.0
69,1272.0
70,895.0
71,867.0
72,1139.0
73,1183.0
74,948.0
75,869.0
76,952.0
77,1046.0
78,1191.0
79,1119.0
80,981.0
81,949.0
82,974.0
83,920.0
84,1101.0
85,808.0
86,1123.0
87,1220.0
88,1191.0
89,1074.0
90,816.0
91,1162.0
92,1057.0
93,1106.0
94,1058.0
95,1057.0
96,1104.0
97,970.0
98,1208.0
99,1112.0
100,1007.0
101,1272.0
102,835.0
103,1142.0
104,1181.0
105,1100.0
106,1143.0
107,1328.0
108,1192.0
109,1012.0
110,849.0
111,1044.0
112,1035.0
113,908.0
114,1184.0
115,956.0
116,908.0
117,1181.0
118,1146.0
119,1105.0
120,909.0
121,1095.0
122,1102.0
123,1099.0
124,1008.0
125,1092.0
126,1142.0
127,1178.0
128,977.0
129,1002.0
130,878.0
131,998.0
132,961.0
133,1089.0
134,1143.0
135,993.0
136,1043.0
137,1045.0
138,957.0
139,997.0
140,993.0
141,871.0
142,1049.0
143,1002.0
144,1136.0
145,1051.0
146,950.0
147,1134.0
148,1064.0
149,1118.0
150,1151.0
151,990.0
152,830.0
153,994.0
154,1014.0
155,851.0
156,1115.0
157,1054.0
158,1025.0
159,1203.0
160,1160.0
161,1031.0
162,910.0
163,1029.0
164,1136.0
165,1021.0
166,1027.0
167,996.0
168,1096.0
169,1064.0
170,1232.0
171,968.0
172,1028.0
173,791.0
174,945.0
175,874.0
176,883.0
177,1211.0
178,1014.0
179,889.0
180,1253.0
181,968.0
182,1009.0
183,1048.0
184,846.0
185,1107.0
186,1125.0
187,982.0
188,1245.0
189,957.0
190,932.0
191,1218.0
192,1022.0
193,1000.0
194,956.0
195,1000.0
196,930.0
197,942.0
198,855.0
199,955.0
200,1031.0
201,912.0
202,1069.0
203,1100.0
204,1114.0
205,712.0
206,1001.0
207,914.0
208,1059.0
209,1026.0
210,895.0
211,920.0
212,1080.0
213,1182.0
214,1185.0
215,1114.0
216,1054.0
217,1082.0
218,846.0
219,1163.0
220,1004.0
221,1029.0
222,926.0
223,954.0
224,1291.0
225,1020.0
226,1090.0
227,1032.0
228,1155.0
229,1055.0
230,1032.0
231,979.0
232,1207.0
233,888.0
234,934.0
235,916.0
236,1107.0
237,1130.0
238,1044.0
239,1161.0
240,937.0
241,1041.0
242,1077.0
243,1107.0
244,1085.0
245,1059.0
246,1062.0
247,1013.0
248,1087.0
249,1034.0
250,1062.0
251,1184.0
252,1205.0
253,1054.0
254,1222.0
255,939.0
256,1087.0
257,1124.0
258,1121.0
259,1076.0
260,1102.0
261,928.0
262,1066.0
263,1119.0
264,1148.0
265,1018.0
266,958.0
267,891.0
268,1158.0
269,1296.0
270,1174.0
271,1080.0
272,1038.0
273,1067.0
274,1062.0
275,1024.0
276,1267.0
277,1123.0
278,920.0
279,1392.0
280,932.0
281,949.0
282,1041.0
283,1114.0
284,1005.0
285,1281.0
286,845.0
287,1148.0
288,953.0
289,1005.0
290,1158.0
291,1199.0
292,1009.0
293,1339.0
294,1094.0
295,910.0
296,1004.0
297,1192.0
298,969.0
299,1236.0
300,1104.0
301,1172.0
302,1131.0
303,1017.0
304,1144.0
305,905.0
306,966.0
307,1365.0
308,973.0
309,1058.0
310,1063.0
311,967.0
312,697.0
313,957.0
314,811.0
315,965.0
316,982.0
317,912.0
318,1278.0
319,1129.0
320,1020.0
321,1062.0
322,817.0
323,1069.0
324,815.0
325,1159.0
326,1094.0
327,1073.0
328,1394.0
329,1069.0
330,1069.0
331,842.0
332,921.0
333,1150.0
334,1156.0
335,1052.0
336,1027.0
337,1158.0
338,1130.0
339,943.0
340,816.0
341,1185.0
342,1032.0
343,934.0
344,1108.0
345,1031.0
346,938.0
347,1019.0
348,1070.0
349,910.0
350,1084.0
351,1029.0
352,1173.0
353,1140.0
354,921.0
355,1139.0
356,1125.0
357,933.0
358,904.0
359,1097.0
360,850.0
361,1306.0
362,969.0
363,1052.0
364,1119.0
365,1100.0
366,981.0
367,948.0
368,1126.0
369,979.0
370,1092.0
371,859.0
372,1005.0
373,1025.0
374,867.0
375,1210.0
376,1122.0
377,1004.0
378,1050.0
379,1084.0
380,1034.0
381,787.0
382,927.0
383,1058.0
384,1104.0
385,1045.0
386,1135.0
387,1046.0
388,940.0
389,1001.0
390,969.0
391,1208.0
392,1201.0
393,943.0
394,1109.0
395,1075.0
396,897.0
397,1136.0
398,1041.0
399,980.0
400,984.0
401,1048.0
402,1070.0
403,1116.0
404,1019.0
405,1231.0
406,1131.0
407,1135.0
408,984.0
409,1077.0
410,1148.0
411,1385.0
412,1040.0
413,903.0
414,997.0
415,924.0
416,949.0
417,1171.0
418,820.0
419,1031.0
420,915.0
421,867.0
422,1037.0
423,1064.0
424,1025.0
425,936.0
426,975.0
427,1057.0
428,1214.0
429,972.0
430,1130.0
431,1000.0
432,1071.0
433,1057.0
434,1100.0
435,1256.0
436,946.0
437,1045.0
438,982.0
439,911.0
440,1052.0
441,971.0
442,959.0
443,1188.0
444,991.0
445,909.0
446,955.0
447,920.0
448,833.0
449,1021.0
450,1083.0
451,969.0
452,1226.0
453,987.0
454,1113.0
455,949.0
456,1062.0
457,1066.0
458,1088.0
459,1165.0
460,1074.0
461,836.0
462,1168.0
463,823.0
464,1014.0
465,1300.0
466,918.0
467,1096.0
468,1177.0
469,993.0
470,1085.0
471,858.0
472,913.0
473,1146.0
474,903.0
475,1034.0
476,911.0
477,947.0
478,1111.0
479,779.0
480,1266.0
481,913.0
482,723.0
483,1145.0
